pair,metatile,kind,treatment,cells,maps,example_map,x,y
building__rom_082d4c2c,0B6,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,4,1
building__rom_082d4c2c,0B8,flat,native_fallback,2,1,FR_FUCHSIA_CITY_HOUSE2,7,0
building__rom_082d4c2c,0C0,roomWall,native_fallback,2,1,FR_FUCHSIA_CITY_HOUSE2,5,1
building__rom_082d4c2c,0C2,flat,native_fallback,2,1,FR_FUCHSIA_CITY_HOUSE2,9,0
building__rom_082d4c2c,0CA,flat,native_fallback,2,1,FR_FUCHSIA_CITY_HOUSE2,9,1
building__rom_082d4c2c,0DD,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,0,0
building__rom_082d4c2c,0DE,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,3,0
building__rom_082d4c2c,0E5,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,2,1
building__rom_082d4c2c,0E6,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,3,1
building__rom_082d4c2c,0F0,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,11,0
building__rom_082d4c2c,0F1,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,9,0
building__rom_082d4c2c,0F8,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,11,1
building__rom_082d4c2c,0F9,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,1
building__rom_082d4c2c,102,flat,native_fallback,2,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,0,4
building__rom_082d4c2c,103,flat,native_fallback,2,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,0,5
building__rom_082d4c2c,106,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,11,5
building__rom_082d4c2c,107,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,11,6
building__rom_082d4c2c,109,roomWall,native_fallback,91,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,9,3
building__rom_082d4c2c,01A,flat,native_fallback,5,4,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,8
building__rom_082d4c2c,111,roomWall,native_fallback,26,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,5,2
building__rom_082d4c2c,112,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,6
building__rom_082d4c2c,01B,flat,native_fallback,5,4,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,4,8
building__rom_082d4c2c,11C,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,0,2
building__rom_082d4c2c,11D,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,1,2
building__rom_082d4c2c,11E,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,4,2
building__rom_082d4c2c,01C,flat,native_fallback,5,4,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,5,8
building__rom_082d4c2c,123,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,3
building__rom_082d4c2c,124,flat,native_fallback,7,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,5,3
building__rom_082d4c2c,125,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,8,3
building__rom_082d4c2c,126,flat,native_fallback,3,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,4,4
building__rom_082d4c2c,127,flat,native_fallback,2,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,7,4
building__rom_082d4c2c,128,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,7,5
building__rom_082d4c2c,129,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,8,5
building__rom_082d4c2c,12B,flat,native_fallback,4,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,4
building__rom_082d4c2c,12C,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,6,6
building__rom_082d4c2c,12D,flat,native_fallback,4,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,8,4
building__rom_082d4c2c,12E,flat,native_fallback,6,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,9,4
building__rom_082d4c2c,130,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,7,6
building__rom_082d4c2c,131,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,8,6
building__rom_082d4c2c,132,flat,native_fallback,2,1,FR_FUCHSIA_CITY_HOUSE2,8,2
building__rom_082d4c2c,133,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,6
building__rom_082d4c2c,134,flat,native_fallback,7,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,6,6
building__rom_082d4c2c,135,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,8,6
building__rom_082d4c2c,136,flat,native_fallback,6,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,9,5
building__rom_082d4c2c,13F,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,7
building__rom_082d4c2c,147,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,4,7
building__rom_082d4c2c,14D,flat,native_fallback,3,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,8,2
building__rom_082d4c2c,14E,flat,native_fallback,3,2,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,9,2
building__rom_082d4c2c,14F,flat,native_fallback,3,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,5,7
building__rom_082d4c2c,155,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,8
building__rom_082d4c2c,156,flat,native_fallback,3,2,FR_FUCHSIA_CITY_HOUSE2,0,6
building__rom_082d4c2c,15D,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,9
building__rom_082d4c2c,15E,flat,native_fallback,3,2,FR_FUCHSIA_CITY_HOUSE2,0,7
building__rom_082d4c2c,162,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,2,0
building__rom_082d4c2c,163,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,3,0
building__rom_082d4c2c,164,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,4,0
building__rom_082d4c2c,166,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,1,4
building__rom_082d4c2c,16A,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,2,1
building__rom_082d4c2c,16B,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,3,1
building__rom_082d4c2c,16C,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,4,1
building__rom_082d4c2c,16E,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,1,5
building__rom_082d4c2c,172,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,0,4
building__rom_082d4c2c,173,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,0,6
building__rom_082d4c2c,17A,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,0,5
building__rom_082d4c2c,033,flat,native_fallback,1,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,8,1
building__rom_082d4c2c,034,flat,native_fallback,1,1,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,9,1
building__rom_082d4c2c,281,flat,native_fallback,179,2,FR_PEWTER_CITY_MUSEUM_1F,12,3
building__rom_082d4c2c,282,flat,native_fallback,42,2,FR_PEWTER_CITY_MUSEUM_1F,12,2
building__rom_082d4c2c,283,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,3,3
building__rom_082d4c2c,284,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,4,3
building__rom_082d4c2c,285,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,5,3
building__rom_082d4c2c,286,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,6,6
building__rom_082d4c2c,287,flat,native_fallback,23,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,6,0
building__rom_082d4c2c,288,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,3,5
building__rom_082d4c2c,289,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,5,5
building__rom_082d4c2c,28A,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,6,5
building__rom_082d4c2c,28B,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,3,7
building__rom_082d4c2c,28C,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,4,4
building__rom_082d4c2c,28D,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,5,4
building__rom_082d4c2c,28E,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,6,4
building__rom_082d4c2c,28F,flat,native_fallback,22,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,5,1
building__rom_082d4c2c,290,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,14,4
building__rom_082d4c2c,291,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,15,4
building__rom_082d4c2c,292,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,16,4
building__rom_082d4c2c,293,flat,native_fallback,7,2,FR_PEWTER_CITY_MUSEUM_1F,11,6
building__rom_082d4c2c,294,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,17,6
building__rom_082d4c2c,295,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,26,4
building__rom_082d4c2c,296,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,4,5
building__rom_082d4c2c,297,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,15,1
building__rom_082d4c2c,298,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,14,5
building__rom_082d4c2c,299,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,15,5
building__rom_082d4c2c,29A,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,16,5
building__rom_082d4c2c,29B,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,17,9
building__rom_082d4c2c,29C,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,16,7
building__rom_082d4c2c,29D,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,16,3
building__rom_082d4c2c,29E,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,15,6
building__rom_082d4c2c,29F,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,11,5
building__rom_082d4c2c,2A0,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,13,9
building__rom_082d4c2c,2A1,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,14,9
building__rom_082d4c2c,2A2,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,15,9
building__rom_082d4c2c,2A3,flat,native_fallback,11,2,FR_PEWTER_CITY_MUSEUM_1F,7,5
building__rom_082d4c2c,2A4,flat,native_fallback,2,2,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,4
building__rom_082d4c2c,2A5,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,0,0
building__rom_082d4c2c,2A6,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,16,6
building__rom_082d4c2c,2A7,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,11,7
building__rom_082d4c2c,2AB,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,18,7
building__rom_082d4c2c,2AC,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,15,7
building__rom_082d4c2c,2AD,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,0,1
building__rom_082d4c2c,2AE,flat,native_fallback,6,2,FR_PEWTER_CITY_MUSEUM_1F,16,8
building__rom_082d4c2c,2AF,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,11,8
building__rom_082d4c2c,2B0,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,22,3
building__rom_082d4c2c,2B1,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,10,6
building__rom_082d4c2c,2B2,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,9,7
building__rom_082d4c2c,2B3,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,10,7
building__rom_082d4c2c,2B4,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,11,7
building__rom_082d4c2c,2B5,flat,native_fallback,3,2,FR_PEWTER_CITY_MUSEUM_1F,0,2
building__rom_082d4c2c,2B6,flat,native_fallback,6,2,FR_PEWTER_CITY_MUSEUM_1F,16,9
building__rom_082d4c2c,2B7,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,11,9
building__rom_082d4c2c,2B8,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,9,7
building__rom_082d4c2c,2B9,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,10,7
building__rom_082d4c2c,2BA,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,9,8
building__rom_082d4c2c,2BB,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,10,8
building__rom_082d4c2c,2BC,flat,native_fallback,3,1,FR_PEWTER_CITY_MUSEUM_2F,16,6
building__rom_082d4c2c,2BD,flat,native_fallback,10,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,10,0
building__rom_082d4c2c,2BE,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,17,6
building__rom_082d4c2c,2BF,flat,native_fallback,8,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,0
building__rom_082d4c2c,2C0,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,9,8
building__rom_082d4c2c,2C1,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,10,8
building__rom_082d4c2c,2C2,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,9,9
building__rom_082d4c2c,2C3,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,10,9
building__rom_082d4c2c,2C4,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,11,9
building__rom_082d4c2c,2C5,flat,native_fallback,10,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,0,1
building__rom_082d4c2c,2C6,flat,native_fallback,8,2,FR_PEWTER_CITY_MUSEUM_1F,5,2
building__rom_082d4c2c,2C7,flat,native_fallback,8,3,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,3,1
building__rom_082d4c2c,2C8,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,9,9
building__rom_082d4c2c,2C9,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,10,9
building__rom_082d4c2c,2CA,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,0,8
building__rom_082d4c2c,2CB,flat,native_fallback,2,2,FR_PEWTER_CITY_MUSEUM_1F,0,9
building__rom_082d4c2c,2CC,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,27,6
building__rom_082d4c2c,2CD,flat,native_fallback,4,1,FR_PEWTER_CITY_MUSEUM_1F,17,0
building__rom_082d4c2c,2CE,flat,native_fallback,4,1,FR_PEWTER_CITY_MUSEUM_1F,27,0
building__rom_082d4c2c,2CF,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,11,0
building__rom_082d4c2c,2D0,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,2,5
building__rom_082d4c2c,2D1,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,3,5
building__rom_082d4c2c,2D2,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,4,5
building__rom_082d4c2c,2D3,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,5,5
building__rom_082d4c2c,2D4,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,27,4
building__rom_082d4c2c,2D5,flat,native_fallback,4,1,FR_PEWTER_CITY_MUSEUM_1F,17,1
building__rom_082d4c2c,2D6,flat,native_fallback,4,1,FR_PEWTER_CITY_MUSEUM_1F,25,1
building__rom_082d4c2c,2D7,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,11,1
building__rom_082d4c2c,2D8,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,2,4
building__rom_082d4c2c,2D9,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,3,4
building__rom_082d4c2c,2DA,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,4,4
building__rom_082d4c2c,2DB,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,5,4
building__rom_082d4c2c,2DC,flat,native_fallback,2,1,FR_PEWTER_CITY_MUSEUM_1F,27,8
building__rom_082d4c2c,2DD,flat,native_fallback,4,1,FR_PEWTER_CITY_MUSEUM_1F,17,2
building__rom_082d4c2c,2DE,flat,native_fallback,4,1,FR_PEWTER_CITY_MUSEUM_1F,25,2
building__rom_082d4c2c,2DF,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,22,4
building__rom_082d4c2c,2E0,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,2,6
building__rom_082d4c2c,2E1,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,3,6
building__rom_082d4c2c,2E2,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,4,6
building__rom_082d4c2c,2E3,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,5,6
building__rom_082d4c2c,2E4,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_1F,8,8
building__rom_082d4c2c,2E5,flat,native_fallback,1,1,FR_PEWTER_CITY_MUSEUM_2F,11,8
building__rom_082d4c2c,2E6,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,10,3
building__rom_082d4c2c,2E7,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,3
building__rom_082d4c2c,2E8,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,4,3
building__rom_082d4c2c,2E9,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,5,3
building__rom_082d4c2c,2EA,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,4,4
building__rom_082d4c2c,2EB,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,5,4
building__rom_082d4c2c,2EC,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,4,5
building__rom_082d4c2c,2ED,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,5,5
building__rom_082d4c2c,2EE,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,11,3
building__rom_082d4c2c,2EF,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,10,4
building__rom_082d4c2c,2F0,flat,native_fallback,2,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,12,5
building__rom_082d4c2c,2F1,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,11,4
building__rom_082d4c2c,2F2,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,6,3
building__rom_082d4c2c,2F3,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,7,3
building__rom_082d4c2c,2F4,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,6,4
